recpid,recpname,recpversion,count,mean,mode,lower_bound,upper_bound
3VI10.07,3VI10,.07,5040,21.84206349206349,7,3,88
3VI10.08,3VI10,.08,1200,40.76,9,3,213
3VI11.01,3VI11,.01,197,0.0,0,0,0
3VI11.02,3VI11,.02,413,5.934624697336562,0,0,25
3VI12.02,3VI12,.02,2272,65.75616197183099,0,0,246
3VI12.03,3VI12,.03,3,119.33333333333333,30,30,255
3VI12.04,3VI12,.04,6778,47.24727058129242,3,0,171
3VI13.02,3VI13,.02,6895,22.236838288614937,3,2,78
3VI14.01,3VI14,.01,2172,60.90699815837937,0,0,194
3VI14.02,3VI14,.02,6,17.833333333333332,0,0,90
3VI14.03,3VI14,.03,12149,20.1858589184295,0,0,92
3VI15.01,3VI15,.01,110,0.0,0,0,0
3VI15.02,3VI15,.02,391,24.531969309462916,0,0,126
3VI15.03,3VI15,.03,1626,40.99138991389914,14,4,161
3VI15.04,3VI15,.04,2,4.5,4,4,5
3VI15.05,3VI15,.05,5014,22.265656162744317,7,3,88
3VI15.06,3VI15,.06,1096,26.41058394160584,4,3,114
3VI16.01,3VI16,.01,111,0.0,0,0,0
3VI16.02,3VI16,.02,441,7.469387755102041,0,0,28
3VI17.01,3VI17,.01,139,0.0,0,0,0
3VI17.02,3VI17,.02,8254,25.462321298764234,3,2,102
3VI18.01,3VI18,.01,8467,7.826620999173261,3,0,23
3VI19.01,3VI19,.01,131,0.0,0,0,0
3VI19.02,3VI19,.02,3,0.0,0,0,0
3VI19.03,3VI19,.03,8375,18.4404776119403,3,2,83
3VI20.01,3VI20,.01,131,0.0,0,0,0
3VI20.02,3VI20,.02,8899,7.816496235532083,3,2,23
3VI21.01,3VI21,.01,123,0.0,0,0,0
3VI21.02,3VI21,.02,8768,217.96110857664235,4,3,576
3VI22.02,3VI22,.02,117,2.0256410256410255,0,0,15
3VI22.03,3VI22,.03,6759,27.54934161858263,3,2,122
3VI23.02,3VI23,.02,8680,14.076382488479263,3,2,53
3VI24.01,3VI24,.01,34,0.0,0,0,0
3VI24.02,3VI24,.02,254,8.283464566929133,5,3,18
3VI26.01,3VI26,.01,21,6.142857142857143,3,2,17
3VI26.02,3VI26,.02,998,17.099198396793586,3,2,73
3WFS1.01,3WFS1,.01,17,0.0,0,0,0
3WFS1.02,3WFS1,.02,1192,0.0,0,0,0
3WFS2.01,3WFS2,.01,1380,0.0,0,0,0
3WST1.05,3WST1,.05,12185,2412.2950348789495,2327,870,3953
3WTM3.02,3WTM3,.02,4644,0.0,0,0,0
3WTM3.03,3WTM3,.03,14,0.0,0,0,0
3WTM3.04,3WTM3,.04,8493,0.0,0,0,0
3WTM4.01,3WTM4,.01,4823,1284.4043126684637,472,428,4082
3WTM4.02,3WTM4,.02,17,1270.5882352941176,0,0,3028
3WTM4.03,3WTM4,.03,8910,804.9052749719416,618,283,2037
3WTM6.01,3WTM6,.01,18,450.1111111111111,517,21,755
3WTM7.01,3WTM7,.01,15,0.0,0,0,0
